"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PACASUS","201711","5.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201712","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201713","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201801","10","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201802","5.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201803","5.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201804","6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201805","4.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201806","7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201807","7.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201808","7.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201809","7.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201810","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201811","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201812","5.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201813","6.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201901","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201902","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201903","5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201904","4.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201905","6.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201906","6.6","2","Petroleum Generating Units, Capacity Factor","Percent"
